Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Ukraine,United States,2023,,150,?,MIM-104 PAC-2,SAM,150,?,2023,Second hand,Second-hand; incl Patriot GEM; GEM-C; GEM-T version; aid after 2022 Russian invasion of Ukraine,0.4,60,60
Ukraine,Poland,2022,,18,,Krab 155mm,self-propelled gun,18,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.8,32.4,32.4
Ukraine,Norway,2022,,100,?,Mistral,portable SAM,100,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.04,3.6,3.6
Ukraine,Poland,2023,,10,?,Mi-24V/Mi-35,combat helicopter,10,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,3.4,34,34
Ukraine,Czechia,2022,,24,?,vehicle engine,vehicle engine,10,?,2022; 2023,New,Tatra T-3D-928-70 (436hp) diesel engine for 24 Zuzana-2 self-propelled guns from Slovakia,0.08,1.92,0.8
Ukraine,France,2020,,20,,FPB-98,patrol craft,8,?,2023,New,EUR137 m deal (incl 5 years support; 85% financed with French loans); for border guard; FPB-98 Mk-1 version; incl 5 produced under licence in Ukraine,6.5,130,52
Ukraine,Belgium,2023,,40,?,M-113,APC,40,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; financed by Belgium; Luxemburg and Netherlands aid,0.1,4,4
Ukraine,United States,2019,?,3,,Island,patrol craft,3,?,2021,Second hand,Second-hand; aid,3.68,11.04,11.04
Ukraine,United States,2015,,15,?,TPQ-36 Firefinder,artillery locating radar,15,?,2015; 2016; 2017; 2018; 2019; 2021,Second hand,Second-hand; 'Ukraine Security Assistance Initiative' aid,1.2,18,18
Ukraine,United Kingdom,2022,,60,?,L-118 105mm,towed gun,60,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; L-119 version,0.24,14.4,14.4
Ukraine,Slovenia,2023,,20,,Pandur,APC,20,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.12,2.4,2.4
Ukraine,Netherlands,2022,,200,,Stinger,portable SAM,200,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.03,6.4,6.4
Ukraine,United Kingdom,2021,?,2,,Sandown,minehunter,2,,2022,Second hand,Second-hand,18,36,36
Ukraine,United States,2022,,11000,?,BGM-71 TOW,anti-tank missile,10500,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl for M-2 IFV,0,44,42
Ukraine,United States,2023,,1,?,M-1150 ABV,AEV,1,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1,1,1
Ukraine,Czechia,2022,,26,?,DANA 152mm,self-propelled gun,26,?,2022; 2023,Second hand but modernized,Second-hand but modernized before delivery; aid after 2022 Russian invasion of Ukraine; Dana M-2 version or incl Dana M-2 version,0.66,17.16,17.16
Ukraine,Spain,2022,?,10,,Leopard-2A4,tank,10,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.6,16,16
Ukraine,Estonia,2022,,50,?,MILAN,anti-tank missile,50,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0,0.2,0.2
Ukraine,Czechia,2018,,40,,2S1 122mm,self-propelled gun,40,,2018,Second hand,Second-hand,0.36,14.4,14.4
Ukraine,Germany,2022,?,2,,Buffel,ARV,2,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.9,1.8,1.8
Ukraine,Netherlands,2022,,10,?,BvS-10,APC,10,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,1,1
Ukraine,United States,2015,,50,?,HMMWV-UA,APV,50,,2015; 2021,Second hand,Second-hand; 'Ukrainian Security Assistance Initiative' aid; M-1114 and M-1151 versions,0.05,2.6,2.6
Ukraine,Germany,2023,,2,,Patriot Configuration-3,SAM system,2,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,22,44,44
Ukraine,Poland,2018,?,54,?,MT-LB,APC,54,?,2018; 2019,Second hand,Second-hand,0.1,5.4,5.4
Ukraine,Czechia,2019,,16,,2S1 122mm,self-propelled gun,16,,2019,Second hand,Second-hand,0.36,5.76,5.76
Ukraine,Sweden,2023,,10,,Leopard-2A5,tank,10,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Strv-122 version,1.8,18,18
Ukraine,Sweden,2023,,50,,CV-90,IFV,50,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; CV-9040C version,0.6,30,30
Ukraine,Italy,2022,,100,?,ASTER-30,SAM,100,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; ASTER-30 Block-1 version; for SAMP/T SAM system delivered by France in cooperation with Italy,0.4,40,40
Ukraine,Germany,2022,,100,?,DM-702 SMART-155,guided shell,100,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,1.6,1.6
Ukraine,Canada,2023,,12,,AIM-120C AMRAAM,BVRAAM,12,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for NASAMS SAM systems,0.24,2.88,2.88
Ukraine,Belgium,2023,,25,?,Mistral,portable SAM,25,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.04,0.9,0.9
Ukraine,Belgium,2022,?,15,,AIM-120B AMRAAM,BVRAAM,15,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for NASAMS SAM systems,0.16,2.4,2.4
Ukraine,Belgium,2022,?,50,?,MILAN,anti-tank missile,50,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0,0.2,0.2
Ukraine,Belgium,2023,,80,,LMV,APV,80,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.06,4.8,4.8
Ukraine,Belgium,2022,,4,,MO-120-RT 120mm,mortar,4,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.12,0.48,0.48
Ukraine,United States,2023,,4,,M-2A3 Bradley,IFV,4,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-7A2 FISTV reconnaissance version,0.72,2.88,2.88
Ukraine,United States,2023,,,,ATACMS Block-1,SSM,20,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for use with HIMARS multiple rocket launchers,0.56,0,11.2
Ukraine,Czechia,2014,,50,?,BMP-1,IFV,50,?,2018,Second hand but modernized,Second-hand but modernized to BMP-1AK before delivery; ordered and delivered via Polish company,0.59,29.7,29.7
Ukraine,United States,2022,,100,?,MIM-23B HAWK,SAM,100,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.07,6.8,6.8
Ukraine,United States,2023,,55,?,M-ATV,APV,55,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,5.5,5.5
Ukraine,United Kingdom,2022,,10,?,Pinzgauer 6x6,APC,10,?,2022,Second hand,Second-hand; financed with private donations as aid after 2022 Russian invasion of Ukraine,0.06,0.64,0.64
Ukraine,Finland,2023,,3,,HMBV,AEV,3,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1,3,3
Ukraine,Czechia,2019,,37,,BMP-1,IFV,37,,2020,Second hand,Second-hand; BVP-1 version,0.36,13.32,13.32
Ukraine,Lithuania,2022,,72,,M-113,APC,72,,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl M-577 command post and probably mortar carrier and artillery observation/command versions,0.1,7.2,7.2
Ukraine,Germany,2022,,2700,?,Strela-2,portable SAM,2700,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,43.2,43.2
Ukraine,Canada,2022,,4,,UFH/M-777 155mm,towed gun,4,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,1.6,1.6
Ukraine,UAE,2015,?,6,,Shrek,APC,6,,2015,New,,0.2,1.2,1.2
Ukraine,UAE,2015,,31,,Spartan,APC/APV,31,,2015,New,,0.16,4.96,4.96
Ukraine,UAE,2015,?,10,,Cougar,APV,10,,2015,New,,0.14,1.4,1.4
Ukraine,United States,2023,,,,Penguin,UAV,5,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,0,0.1
Ukraine,Canada,2023,,1,,Buffel,ARV,1,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.9,0.9,0.9
Ukraine,United States,2023,,1,,I-HAWK,SAM system,1,?,2023,Second hand,Second-hand; aid,15,15,15
Ukraine,Germany,2023,,8,,AIM-7E Sparrow,BVRAAM,8,,2023,Second hand,RIM-7 Sea Sparrow (SAM) version; financed by Belgian aid,0.06,0.48,0.48
Ukraine,Poland,2017,,100,?,Warmate,loitering munition,100,?,2018,New,,0.06,6,6
Ukraine,France,2023,,12,,CAESAR 155mm,self-propelled gun,12,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.44,5.28,5.28
Ukraine,Germany,2022,,16,?,BPz-2,ARV,15,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.56,8.96,8.4
Ukraine,Greece,2022,,40,,BMP-1,IFV,40,,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.36,14.4,14.4
Ukraine,Slovenia,2022,,28,,M-55S,tank,28,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.9,25.2,25.2
Ukraine,United States,2018,,2,,Island,patrol craft,2,,2018,Second hand,Second-hand; aid; Ukrainian designation Slavyansk,3.68,7.36,7.36
Ukraine,United States,2023,,600,?,AIM-9M Sidewinder,SRAAM,600,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for Ukrainian SAM systems,0.05,28.8,28.8
Ukraine,Latvia,2022,,10,?,Penguin,UAV,10,?,2022,New,UAH651m ($17.5 m) deal; Penguin-C Mk-2 version,0.05,0.5,0.5
Ukraine,Czechia,2022,,6,,One 150,UAV,6,,2022,New,Financed by aid from Luxemburg after 2022 Russian invasion of Ukraine,0.2,1.2,1.2
Ukraine,United States,2023,,8,,M-88A2 HERCULES,ARV,8,,2023,Second hand,Probably second-hand; aid after 2022 Russian invasion of Ukraine,0.8,6.4,6.4
Ukraine,United Kingdom,2014,,75,,AT-105 Saxon,APC,75,,2015,Second hand,Second-hand; GBP3.8 m deal,0.08,6,6
Ukraine,Italy,2022,,6,,PzH-2000 155mm,self-propelled gun,6,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.8,10.8,10.8
Ukraine,United Kingdom,2022,,90,?,Brimstone,ASM,90,?,2022,New,Maritime Brimstone version; aid after 2022 Russian invasion of Ukraine,0.15,13.5,13.5
Ukraine,Australia,2022,,120,,Bushmaster,APC,120,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 2 ambulance version,0.14,16.8,16.8
Ukraine,Lithuania,2021,,1,,L-39Z Albatros,trainer/combat aircraft,1,,2021,Second hand,Second-hand; aid; L-39ZA version,2,2,2
Ukraine,Lithuania,2022,?,2,,Mi-17,transport helicopter,2,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Mi-8 version,2.9,5.8,5.8
Ukraine,Estonia,2022,,24,?,FH-70 155mm,towed gun,24,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,9.6,9.6
Ukraine,Sweden,2023,,90,?,NLAW,anti-tank missile,90,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0,0.36,0.36
Ukraine,Italy,2023,,75,?,Aspide,BVRAAM/SAM,75,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for Spada-2000 SAM,0.07,5.4,5.4
Ukraine,Italy,2023,,1,,Spada-2000,SAM system,1,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,6.4,6.4,6.4
Ukraine,United States,2022,,19,,M-142 HIMARS,self-propelled MRL,19,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.44,8.36,8.36
Ukraine,Australia,2022,,28,,Waran,APC,28,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-113AS4 version,0.14,3.92,3.92
Ukraine,United States,2022,,20,,M-142 HIMARS,self-propelled MRL,20,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.44,8.8,8.8
Ukraine,Canada,2014,,39,?,Spartan,APC/APV,39,,2014; 2015,New,,0.16,6.24,6.24
Ukraine,United States,2022,,400,?,AIM-7M Sparrow,BVRAAM,400,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for use with Ukrainian SAM systems; incl RIM-7 version,0.07,28.8,28.8
Ukraine,Croatia,2022,,3,,Mi-8T,transport helicopter,3,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 1 Mi-8PS version,2.4,7.2,7.2
Ukraine,unknown supplier(s),2023,,50,,M-113,APC,50,,2023,Second hand,Second-hand,0.1,5,5
Ukraine,United Kingdom,2022,?,2,?,Challenger ARRV,ARV,2,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; delivery planned 2023,0.9,1.8,1.8
Ukraine,France,2022,,50,?,FGM-148 Javelin,anti-tank missile,50,?,2022,Second hand,Second-hand; aid after Russian invasion of Ukraine,0.01,0.6,0.6
Ukraine,Estonia,2021,,50,?,FGM-148 Javelin,anti-tank missile,50,?,2022,Second hand,Second-hand; aid,0.01,0.6,0.6
Ukraine,United States,2022,,150,,HMMWV-UA,APV,150,?,2023,New,Aid after 2022 Russian invasion of Ukraine,0.13,19.5,19.5
Ukraine,United Kingdom,2022,,60,?,Cougar,APC,60,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Mastiff and Wolfhound versions,0.14,8.4,8.4
Ukraine,United Kingdom,2022,,85,,Spartan,APC,85,?,2022,Second hand,Second-hand; financed with private donations;  including Samaritan ambulance; Sultan command post and Samson ARV versions,0.1,8.5,8.5
Ukraine,United Kingdom,2022,,6,,M-270 MLRS 227mm,self-propelled MRL,6,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.48,2.88,2.88
Ukraine,United Kingdom,2022,,40,?,Spartan,APC,40,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; including Samaritan ambulance; Sultan command post and Samson ARV versions,0.1,4,4
Ukraine,United Kingdom,2022,,14,,Spartan,APC,14,,2022,Second hand,Second-hand; financed with private donations; incl Sultan command post and Samaritan ambulance versions,0.1,1.4,1.4
Ukraine,Slovakia,2022,,4,,Mi-17,transport helicopter,4,,2022,Second hand,Second-hand; financed by EU aid after 2022 Russian invasion of Ukraine; Mi-17M version,2.9,11.6,11.6
Ukraine,Sweden,2023,,8,,Archer 155mm,self-propelled gun,8,,2023,New,Second-hand but never used; aid after 2022 Russian invasion of Ukraine,1.5,12,12
Ukraine,Czechia,2022,,1,,T-72M1,tank,1,,2022,Second hand but modernized,Second-hand T-72M1 but modernized to T-72 Avenger before delivery; CZK25 m ($1 m) deal funded by private aid after 2022 Russian invasion of Ukraine,1.72,1.72,1.72
Ukraine,Lithuania,2022,,25,?,Stinger,portable SAM,25,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.03,0.8,0.8
Ukraine,United States,2023,,64,?,BATT,APC,16,,2023,New,Financed by FRG; from German production line,0.16,10.24,2.56
Ukraine,Germany,2022,,120,,Marder-1A3,IFV,90,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.68,81.6,61.2
Ukraine,France,2018,,14,?,AS-350/AS-550 Fennec,light helicopter,2,?,2023,New,Part of EUR555 m deal for 24 for non-military border guard role but 14 for military role after 2022 Russian invasion of Ukraine; H125 version,0.9,12.6,1.8
Ukraine,Belgium,2022,,28,?,M-109A1 155mm,self-propelled gun,28,?,2022,Second hand,Second-hand; financed by UK aid after 2022 Russian invasion of Ukraine; M-109A4BE version,0.44,12.32,12.32
Ukraine,Spain,2022,,25,?,MIM-23B HAWK,SAM,25,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for I-HAWK SAM systems,0.07,1.7,1.7
Ukraine,Norway,2022,,8,,NASAMS-2,SAM system,2,,2022,New,Financed by US $1.4 b aid after 2022 Russian invasion of Ukraine,15,120,30
Ukraine,United States,2022,,7000,?,M-982 Excalibur,guided shell,7000,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,112,112
Ukraine,Turkiye,2023,,1,,Bayraktar TB2,armed UAV,1,,2023,New,Donated by producer,2.4,2.4,2.4
Ukraine,France,2022,,18,,CAESAR 155mm,self-propelled gun,18,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.44,7.92,7.92
Ukraine,United Kingdom,2022,,1800,?,Starstreak,SAM,1800,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for Stormer HVM SAM system and portable launchers,0.04,64.8,64.8
Ukraine,Germany,2022,,5,,PiPz-2 Dachs,AEV,5,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.8,4,4
Ukraine,France,2022,,100,?,VT-1,SAM,100,?,2022,Second hand,Second-hand; aid; for Crotale-NG SAM systems,0.06,6,6
Ukraine,Norway,2022,,160,,AGM-114 Hellfire,anti-tank missile,160,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Rb-17 (AIM-114C) version for coastal defence,0.02,2.56,2.56
Ukraine,Italy,2022,,10,,LMV,APV,10,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.06,0.6,0.6
Ukraine,Italy,2022,,60,?,M-109A1 155mm,self-propelled gun,60,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-109L version,0.44,26.4,26.4
Ukraine,United States,2022,,16,?,MPQ-64 Sentinel,air search radar,4,?,2022,New,For use with 8 NASAMS SAM systems from Norway,5,80,20
Ukraine,Spain,2022,,1,,Spada,SAM system,1,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,8,8,8
Ukraine,United States,2022,,30,,K-6 120mm,mortar,30,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-120 version,0.1,3,3
Ukraine,Germany,2022,,5,,M-270 MLRS 227mm,self-propelled MRL,5,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; MARS-2 version,0.48,2.4,2.4
Ukraine,France,2022,,60,,VAB-VTT,APC,60,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.12,7.2,7.2
Ukraine,unknown supplier(s),2023,,,,AIFV,IFV,1,?,2023,Second hand,,0.36,0,0.36
Ukraine,Portugal,2023,,5,?,L-118 105mm,towed gun,5,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as '105mm guns'),0.24,1.2,1.2
Ukraine,United Kingdom,2022,,50,?,AIM-120C AMRAAM,BVRAAM,50,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for NASAMS SAM systems,0.24,12,12
Ukraine,United States,2022,,39,,vehicle engine,vehicle engine,39,?,2022,New,Caterpillar C-9 (450hp) diesel engine for 39 LAV-6 APC from Canada,0.08,3.12,3.12
Ukraine,United States,2022,,450,?,HMMWV-UA,APV,450,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.05,23.4,23.4
Ukraine,United Kingdom,2022,,3,,Sea King HAR-3,transport helicopter,3,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Sea King HU-5 version; for SAR,2.7,8.1,8.1
Ukraine,United Kingdom,2022,,50,?,Brimstone-2,ASM,50,?,2022,New,Aid after 2022 Russian invasion of Ukraine,0.2,10,10
Ukraine,Czechia,2022,,18,,One 150,UAV,7,,2023,New,Financed by aid from Germany after 2022 Russian invasion of Ukraine,0.2,3.6,1.4
Ukraine,United States,2022,,250,?,AIM-120C AMRAAM,BVRAAM,250,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for NASAMS-2 SAM systems,0.24,60,60
Ukraine,France,2022,,4,?,Crotale-NG,SAM system,4,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,4,16,16
Ukraine,Poland,2022,,150,?,Warmate,loitering munition,150,?,2022,New,Aid after 2022 Russian invasion of Ukraine; incl some financed by Lithuania,0.06,9,9
Ukraine,Poland,2022,,80,?,BMP-1,IFV,80,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.36,28.8,28.8
Ukraine,Latvia,2022,,4,,Mi-17,transport helicopter,4,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 2 Mi-8MTV-1 version,2.9,11.6,11.6
Ukraine,Germany,2023,,5,?,Luna-NG,UAV,5,?,2023,New,Aid after 2022 Russian invasion of Ukraine; delivery planned 2023,0.2,1,1
Ukraine,United States,2022,,400,,M-113A3,APC,400,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 100 ambulance version,0.12,48,48
Ukraine,United Kingdom,2022,,16,,Spartan,APC,16,,2023,Second hand,Second-hand; financed with private donations,0.1,1.6,1.6
Ukraine,Finland,2022,,5,?,XA-180,APC,5,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; XA-185 version,0.12,0.6,0.6
Ukraine,Canada,2022,,10,?,Titan,APC,10,?,2022,New,Probably aid after 2022 Russian invasion of Ukraine; Titan-S version,0.13,1.3,1.3
Ukraine,Poland,2023,,200,,AMV,IFV,100,?,2023,New,Financed by EU and USA aid after 2022 Russian invasion of Ukraine; Rosomak version,1.7,340,170
Ukraine,United Kingdom,2022,,820,?,GMLRS,guided rocket,820,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.03,26.24,26.24
Ukraine,United States,2022,,2300,?,Phoenix Ghost,loitering munition,1800,?,2022; 2023,New,Aid after 2022 Russian invasion of Ukraine,0.15,345,270
Ukraine,Morocco,2022,,90,,T-72B,tank,90,?,2022; 2023,Second hand,Second-hand (but modernized in Czechia before delivery); financed by Netherlands and USA as aid after 2022 Russian invasion of Ukraine (were in Czechia for modernization for Morocco diverted to Ukraine; possibly as sale via Czech company for USA and Netherlands aid to Ukraine or possibly delivered to Ukraine without permission from Morocco),1.04,93.6,93.6
Ukraine,Czechia,2022,,22,?,T-55AM-2,tank,22,?,2022,Second hand,Second-hand; aid after 2022 Russian invasions of Ukraine,0.6,13.2,13.2
Ukraine,United Kingdom,2023,,23,,Spartan,APC,23,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,2.3,2.3
Ukraine,Italy,2022,,10,?,FH-70 155mm,towed gun,10,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,4,4
Ukraine,Italy,2022,,20,?,M-113,APC,20,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,2,2
Ukraine,United States,2022,,110,?,AGM-88 HARM,anti-radar missile,110,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,11,11
Ukraine,United States,2022,,37,,Cougar,APC,37,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.14,5.18,5.18
Ukraine,United States,2022,,1,,Patriot Configuration-3,SAM system,1,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,22,22,22
Ukraine,Czechia,2023,,15,,T-72M1,tank,15,?,2023,Second hand but modernized,Second-hand but modernized before delivery; financed by Denmark,1.72,25.74,25.74
Ukraine,United Kingdom,2022,,300,?,LMM Martlet,anti-ship missile/ASM/SAM,300,?,2022,New,Aid after Russian invasion of Ukraine; for Stormer HVM SAM system and portable launchers,0.1,30,30
Ukraine,United States,2022,,30,,M-992 FAASV,ALV,30,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.24,7.2,7.2
Ukraine,United States,2022,,440,,MaxxPro,APC,440,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 40 mine-clearing version,0.13,56.32,56.32
Ukraine,United States,2022,,234,?,MaxxPro,APC,234,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.13,29.95,29.95
Ukraine,United States,2022,,20,,MMR,multi-role radar,10,?,2023,New,Aid after 2022 Russian invasion of Ukraine,6.5,130,65
Ukraine,France,2022,,15,?,TR-F-1 155mm,towed gun,15,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.38,5.7,5.7
Ukraine,Czechia,2022,,20,?,T-72M1,tank,20,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.04,20.8,20.8
Ukraine,Czechia,2022,,56,?,BMP-1,IFV,56,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Pbv-501A version,0.36,20.16,20.16
Ukraine,Italy,2022,,2,,X-TAR,air search radar,1,,2023,New,For use with GDM-008 Mk-1 anti-aircraft guns (part of Skyshield-35 (Skynex) air defence systems); financed by German aid,5,10,5
Ukraine,United Kingdom,2023,,400,?,ASRAAM,BVRAAM,300,?,2022; 2023,Second hand,Second-hand; for use as SAM,0.07,28.8,21.6
Ukraine,Germany,2022,,1000,?,IRIS-T SLM,SAM,500,?,2022; 2023,New,For IRIS-T SL SAM system,0.4,400,200
Ukraine,United States,2022,,250,?,AIM-120C AMRAAM,BVRAAM,200,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for NASAMS-2 SAM systems,0.24,60,48
Ukraine,United States,2022,,13500,?,FGM-148 Javelin,anti-tank missile,13000,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.01,162,156
Ukraine,Turkiye,2023,,,?,Cobra-2,APC,20,?,2023,New,,0.25,0,5
Ukraine,Germany,2023,,8,?,TRML-4D,air search radar,8,?,2023,New,Aid after 2022 Russian invasion of Ukraine,12,96,96
Ukraine,Turkiye,2022,,200,?,Kirpi,APC,92,?,2022; 2023,Second hand,Second-hand,0.14,28,12.88
Ukraine,Canada,2022,,39,,Piranha LAV-6,APC,39,?,2022,New,Aid after 2022 Russian invasion of Ukraine; ASCV-TCV version,0.37,14.43,14.43
Ukraine,France,2023,,6,,CAESAR 155mm,self-propelled gun,6,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.44,2.64,2.64
Ukraine,France,2023,,90,?,Storm Shadow/SCALP-EG,ASM,50,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; delivery planned 2023-2024,0.26,23.04,12.8
Ukraine,United States,2023,,,,JDAM-ER,guided glide bomb,1500,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.04,0,60
Ukraine,Spain,2023,?,3,,BMR-600,APC,1,,2023,Second hand,Second-hand; ambulance version; aid after 2022 Russian invasion of Ukraine,0.12,0.36,0.12
Ukraine,France,2022,,4,,M-270 MLRS 227mm,self-propelled MRL,4,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; LRU version,0.48,1.92,1.92
Ukraine,Slovakia,2023,,30,?,3M9,SAM,30,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for Kvadrat SAM system,0.05,1.44,1.44
Ukraine,United States,2023,,18,,M-60 AVLB,armoured bridgelayer,18,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,7.2,7.2
